source_center,destination_center,trip_count,median_factor,mean_factor,p75_factor,p90_factor,sla_breach_rate,median_actual_time,median_osrm_time,median_distance,route_types
IND621211AAA,IND621010AAA,15,1.4880952380952381,1.6020683020683022,1.9074675324675323,2.0,0.9444444444444444,30.0,21.0,23.067500000000003,['FTL']
IND621212AAA,IND621704AAA,16,1.7142857142857142,1.9802060008956561,2.0,3.0,0.9655172413793104,29.0,20.0,27.6944,['FTL']
IND621306AAA,IND625106AAA,12,1.1666666666666667,1.5420756769392385,1.55,2.4578260869565223,0.41025641025641024,28.0,25.0,24.0799,['FTL']
IND621704AAA,IND621802AAA,17,1.1213235294117647,1.1384733421239013,1.2569444444444444,1.3609970674486802,0.35294117647058826,32.0,27.0,22.645699999999998,['FTL']
IND621802AAA,IND608301AAA,10,2.555555555555556,2.486683006535948,2.6856617647058822,2.8235294117647056,1.0,44.0,17.0,24.29,['FTL']
IND621802AAA,IND621212AAA,2,1.5833333333333335,1.655021391863497,1.78030303030303,2.02020202020202,1.0,31.0,21.0,27.74575,['FTL']
IND622407AAA,IND622001AAA,14,1.3846153846153846,1.516281384173089,1.4444444444444444,2.2607142857142857,0.8214285714285714,28.5,18.0,17.98535,['FTL']
IND623315AAB,IND614620AAA,15,1.5,1.6399907037407038,2.0,2.1900000000000004,0.75,12.0,7.0,9.9207,['Carting']
IND623407AAA,IND623315AAB,15,1.081168831168831,1.1075955988455988,1.1676136363636367,1.2787878787878788,0.16666666666666666,13.0,13.0,9.526,['Carting']
IND623503AAA,IND623526AAA,7,0.92,1.06484222316927,1.04,1.6666666666666667,0.14285714285714285,25.0,29.0,22.5588,['FTL']
IND623526AAA,IND623704AAA,8,1.0,1.0323807501087907,1.1949221949221949,1.289415322580645,0.25,34.0,32.0,25.5185,['FTL']
IND623701AAA,IND623503AAA,7,0.9852941176470589,1.1279719938343191,1.2196969696969697,1.515789473684211,0.35714285714285715,30.0,26.0,21.4022,['FTL']
IND623704AAA,IND626607AAB,7,1.2153846153846155,1.2505119478333764,1.303896103896104,1.4863636363636363,0.5,30.5,23.5,19.9906,['FTL']
IND624001AAA,IND624619AAA,11,1.4090909090909092,1.8826609260304914,2.6,3.6,0.6,24.0,21.0,22.608150000000002,['FTL']
IND624001AAA,IND624703AAA,2,1.2857142857142858,1.3035714285714286,1.3392857142857144,1.4357142857142857,0.75,22.5,17.5,19.4283,['FTL']
IND624001AAA,IND625008AAA,9,1.4285714285714286,1.4520751792018636,1.6515151515151516,1.9355555555555555,0.8695652173913043,27.0,18.0,26.5074,['FTL']
IND624101AAA,IND624202AAA,10,0.7308049535603716,0.9111201667573197,0.845855694692904,1.3651282051282063,0.15,47.5,60.0,28.01905,['FTL']
IND624202AAA,IND625218AAA,11,1.5108695652173914,2.352484472049689,1.7173913043478262,5.800000000000004,1.0,30.5,22.5,25.1167,['FTL']
IND624601AAA,IND624001AAA,2,4.714285714285714,4.4482138151703365,6.097142857142858,7.2281818181818185,1.0,37.0,21.0,22.89125,['FTL']
IND624601AAA,IND624101AAA,15,0.782768488385142,1.0586346470390615,1.0833333333333333,1.3833333333333333,0.25,87.5,126.5,56.489,['FTL']
IND624619AAA,IND624601AAA,10,1.25,1.8943051109163642,2.5,3.4000000000000004,0.7058823529411765,26.0,23.0,24.1577,['FTL']
IND624703AAA,IND624619AAA,1,1.22,1.22,1.33,1.396,0.5,31.0,25.5,25.91265,['FTL']
IND625008AAA,IND625516AAA,1,1.21025641025641,1.230128205128205,1.325,1.43,0.5,35.0,31.0,27.38925,['FTL']
IND625008AAA,IND626123AAA,17,2.0,1.9952951064388273,2.1421568627450975,2.4,1.0,35.0,17.0,25.0873,['FTL']
IND625008AAA,IND685514AAA,1,1.3043478260869563,1.4315608094570227,1.7857142857142858,1.7942857142857143,0.8,39.0,30.0,26.7541,['FTL']
IND625106AAA,IND625008AAA,13,1.7453703703703702,1.6725257703540197,1.8537037037037036,1.930952380952381,0.8846153846153846,34.5,22.5,22.54035,['FTL']
IND625218AAA,IND624703AAA,1,2.064102564102564,2.2674313990103463,3.2222222222222223,3.6222222222222222,0.5,32.0,27.5,32.82245,['FTL']
IND625516AAA,IND685514AAA,7,1.934782608695652,1.8979863221884499,1.9891304347826086,2.034782608695652,1.0,89.0,47.0,33.3321,['FTL']
IND625531AAA,IND625516AAA,7,1.2638888888888888,1.286190904611957,1.3289473684210527,1.385,0.7857142857142857,29.0,23.0,20.96665,['FTL']
IND625532AAA,IND625531AAA,6,1.391304347826087,1.6390168818915958,2.177083333333333,2.357142857142857,0.6363636363636364,34.0,29.0,26.314,['FTL']
IND625532AAA,IND685514AAA,1,1.6091617933723197,1.7353844681147312,2.24906015037594,2.5710526315789473,0.5,35.0,29.5,26.9309,['FTL']
IND626117AAA,IND626138AAA,9,1.24,1.2359480848369737,1.28,1.28,0.6666666666666666,32.0,25.0,20.7746,['FTL']
IND626123AAA,IND627756AAA,17,1.5405405405405406,1.554312644550227,1.6183901292596943,1.7142857142857142,1.0,46.0,30.5,30.7534,['FTL']
IND626138AAA,IND625008AAA,16,1.292857142857143,1.639375087501478,2.0,2.43,0.6041666666666666,32.0,27.0,23.5698,['FTL']
IND626607AAB,IND625008AAA,7,1.4054054054054057,1.4009353737892696,1.6363636363636365,1.6952380952380952,0.8,36.0,23.0,28.6395,['FTL']
IND627005AAA,IND627117AAA,11,1.5894736842105264,1.715483022832599,1.778195488721804,2.1775,1.0,31.0,20.0,26.175800000000002,['FTL']
IND627005AAA,IND627811AAA,10,0.8999999999999999,1.6511110924713865,2.0,3.754545454545455,0.36666666666666664,28.0,33.0,22.36095,['FTL']
IND627005AAA,IND628801AAA,17,1.2222222222222223,1.2423283709258706,1.3846153846153846,1.5230769230769232,0.5411764705882353,12.0,10.0,11.7139,['Carting']
IND627005AAA,IND629001AAA,1,2.0275,2.1322140522875817,2.517361111111111,2.7736111111111112,1.0,34.0,17.5,24.323999999999998,['FTL']
IND627117AAA,IND629001AAA,11,1.825925925925926,2.5357983682983685,3.1500000000000004,4.697222222222224,1.0,38.0,17.0,18.5521,['FTL']
IND627401AAA,IND627005AAA,13,2.0185185185185186,2.9489931009161774,4.295454545454545,4.708333333333334,1.0,42.0,18.5,19.58325,['FTL']
IND627657AAA,IND628613AAA,16,1.150375939849624,1.2426814128580241,1.3333333333333333,2.0,0.4090909090909091,12.0,15.0,10.96405,['Carting']
IND627756AAA,IND626117AAA,17,1.7766798418972332,1.8432777261102071,2.0,2.19,1.0,23.0,14.0,15.835349999999998,['FTL']
