hub_id,hub_name,state,in_degree,out_degree,in_strength,out_strength,betweenness_centrality,avg_outgoing_factor,avg_incoming_factor,avg_outgoing_sla_breach,in_wcc,betweenness_centrality_norm,avg_outgoing_factor_norm,avg_outgoing_sla_breach_norm,out_degree_norm,bottleneck_score,bottleneck_rank
IND641062AAD,Coimbatore_Karayam_H (Tamil Nadu),Tamil Nadu,7,8,12.806565656565656,14.74114284408402,0.0,1.8426428555105023,1.8295093795093795,0.8618971637001565,0,0.0,0.15884852201307362,0.8618971628382592,0.16326530611911705,0.27967621713070073,904
IND423109AAA,Shirdi_SaiBansi_D (Maharashtra),Maharashtra,3,3,5.114015151515152,6.619047619047619,0.0005965951147298297,2.206349206349206,1.7046717171717172,0.8888888888888888,1,0.0017151928585046208,0.19020251777232788,0.8888888879999999,0.06122448979466889,0.2795568424127589,905
IND821307AAA,DehriSone_Dilliyan_D (Bihar),Bihar,1,1,1.8705882352941177,2.0,0.0,2.0,1.8705882352941177,0.9333333333333333,1,0.0,0.172413793088585,0.9333333323999999,0.02040816326488963,0.2794980058618797,906
IND691574AAA,Kalluvathukal_Pariplly_D (Kerala),Kerala,2,1,2.333333333333333,1.5,2.521697725576987e-05,1.5,1.1666666666666665,0.9761904761904762,1,7.249804471120544e-05,0.12931034481643877,0.9761904752142856,0.02040816326488963,0.27946180381306346,907
IND611001AAA,Nagapttinm_Sttyapar_D (Tamil Nadu),Tamil Nadu,1,1,3.111111111111111,2.1875,0.0017942264988897111,2.1875,3.111111111111111,0.9090909090909091,1,0.005158346760564765,0.18857758619063986,0.909090908181818,0.02040816326488963,0.2792837694490456,908
IND504215AAA,Luxettipet_ShivaDPP_D (Telangana),Telangana,1,2,3.4166666666666665,3.4363636363636365,0.0,1.7181818181818183,3.4166666666666665,0.9444444444444444,1,0.0,0.14811912224428442,0.9444444434999999,0.04081632652977926,0.27926334041553796,909
IND245101AAA,Hapur_Swargash_D (Uttar Pradesh),Uttar Pradesh,2,2,3.746153846153846,4.848496240601504,0.0,2.424248120300752,1.873076923076923,0.8833333333333333,1,0.0,0.2089869069044625,0.8833333324499999,0.04081632652977926,0.2792025088180825,910
IND110044AAB,Del_Okhla_PC (Delhi),Delhi,2,6,3.170879120879121,11.162400793650793,0.008121350027961178,1.8604001322751322,1.5854395604395606,0.85010689490778,1,0.023348634987873516,0.16037932173403044,0.850106894057673,0.12244897958933779,0.27916092313208224,911
IND639001AAA,Karur (Tamil Nadu),Tamil Nadu,0,1,0.0,1.64,0.0,1.64,0.0,0.9629629629629629,0,0.0,0.1413793103326397,0.9629629619999999,0.02040816326488963,0.2791467925728933,912
IND691551AAA,Adoor_Town_D (Kerala),Kerala,2,1,3.5433333333333334,1.9090909090909087,0.004951887490747594,1.9090909090909087,1.7716666666666667,0.918918918918919,1,0.014236526331756717,0.1645768024936493,0.918918918,0.02040816326488963,0.27891793882926064,913
IND144040AAA,Nakodar_ChowkDPP_D (Punjab),Punjab,2,1,3.2076023391812862,2.025,0.0,2.025,1.6038011695906431,0.9285714285714286,1,0.0,0.17456896550219234,0.928571427642857,0.02040816326488963,0.2788463227759958,914
IND342301AAA,Phalodi_PalikDPP_D (Rajasthan),Rajasthan,4,1,5.127289731682146,1.9,0.003273756988440241,1.9,1.2818224329205368,0.9259259259259259,1,0.00941195203986061,0.16379310343415576,0.9259259249999999,0.02040816326488963,0.2787851648122236,915
IND504208AAB,Mancherial_Hitech_D (Telangana),Telangana,3,2,4.213423645320197,3.365025466893039,1.4833516032805805e-06,1.6825127334465195,1.4044745484400656,0.9444444444444444,1,4.2645908653650255e-06,0.1450442011466789,0.9444444434999999,0.04081632652977926,0.27849610274793946,916
IND829122AAA,Ramgarh_HotelPrk_D (Jharkhand),Jharkhand,1,1,2.45,1.6666666666666667,0.0011961509992598075,1.6666666666666667,2.45,0.9523809523809523,1,0.0034388978403765104,0.14367816090715418,0.9523809514285713,0.02040816326488963,0.27827961681779656,917
IND843105AAB,Dholi_WardNo4_D (Bihar),Bihar,1,1,2.8125,2.1052631578947367,0.0011961509992598075,2.1052631578947367,2.8125,0.9142857142857143,1,0.0034388978403765104,0.18148820325114212,0.9142857133714285,0.02040816326488963,0.2782083178895079,918
IND126112AAA,Safidon_HatRDDPP_D (Haryana),Haryana,0,1,0.0,1.8888888888888888,0.0,1.8888888888888888,0.0,0.9375,1,0.0,0.16283524902810806,0.9374999990624999,0.02040816326488963,0.2781450365123854,919
IND628801AAA,Eral_Busstand_D (Tamil Nadu),Tamil Nadu,1,1,1.2222222222222223,1.5,0.0,1.5,1.2222222222222223,0.9705882352941176,0,0.0,0.12931034481643877,0.9705882343235294,0.02040816326488963,0.27803586927472546,920
IND125005AAA,Hisar_IndstlAr_I (Haryana),Haryana,4,5,7.614869281045752,8.72940734989648,0.009601776461880087,1.745881469979296,1.9037173202614377,0.8604761904761904,1,0.027604816080052035,0.1505070232611025,0.8604761896157141,0.10204081632444816,0.2777136112958896,921
IND385535AAA,Deesa_HawaiPlr_DC (Gujarat),Gujarat,1,1,1.5625,1.5917508417508417,0.0016358253145817912,1.5917508417508417,1.5625,0.9545454545454546,1,0.004702948160415896,0.13721990013910534,0.954545453590909,0.02040816326488963,0.2776485947783826,922
IND110085AAB,Delhi_Rohini_DPC (Delhi),Delhi,4,5,10.268281718281719,11.807692307692308,0.004030266306113337,2.3615384615384616,2.5670704295704296,0.8294573643410853,1,0.011586893381196775,0.20358090183921385,0.8294573635116279,0.10204081632444816,0.27762110146979657,923
IND342602AAC,Bilara_Central_DPP_2 (Rajasthan),Rajasthan,2,2,3.3631526175063327,3.9833614661200865,0.0011961509992598075,1.9916807330600432,1.6815763087531663,0.9090909090909092,1,0.0034388978403765104,0.17169661490416782,0.9090909081818181,0.04081632652977926,0.27752294399509514,924
IND121001AAA,Faridabad (Haryana),Haryana,1,1,1.7,2.0,0.0,2.0,1.7,0.925,1,0.0,0.172413793088585,0.924999999075,0.02040816326488963,0.2774146725306297,925
IND140001AAA,RoopNagar_ChotiHvl_DC (Punjab),Punjab,1,1,1.7272727272727273,1.707142857142857,0.0005992740477253545,1.707142857142857,1.7272727272727273,0.9473684210526315,1,0.0017228947096074702,0.1471674876720422,0.947368420105263,0.02040816326488963,0.2772982145824224,926
IND508206AAA,Kodad_VidyaNgr_D (Telangana),Telangana,3,3,6.011355105105105,5.515073529411764,1.4803849000740192e-06,1.8383578431372547,2.003785035035035,0.9130434782608695,1,4.256061683634295e-06,0.15847912439472203,0.913043477347826,0.06122448979466889,0.2770658135264266,927
IND530012AAC,Vizag_Gajuwaka_L (Andhra Pradesh),Andhra Pradesh,0,2,0.0,3.75,0.0,1.875,0.0,0.921875,1,0.0,0.16163793102054846,0.921874999078125,0.04081632652977926,0.27700068150413526,928
IND606801AAB,Chetpet_Blmrgnst_D (Tamil Nadu),Tamil Nadu,1,1,1.3276515151515151,2.0,0.0,2.0,1.3276515151515151,0.9230769230769231,1,0.0,0.172413793088585,0.9230769221538462,0.02040816326488963,0.27693390330034123,929
IND786190AAA,DoomDooma_Pthrgoan_D (Assam),Assam,3,2,5.8392857142857135,4.2367647058823525,0.0032767236916468024,2.1183823529411763,1.9464285714285712,0.8872549019607843,1,0.009420481221591342,0.18261916834125494,0.8872549010735293,0.04081632652977926,0.27688813476071994,930
IND500050AAA,Patancheru_Ameenpur_I (Telangana),Telangana,2,2,3.638888888888889,4.111111111111111,0.0005995558845299778,2.0555555555555554,1.8194444444444444,0.9030748663101604,1,0.0017237049818718895,0.17720306511882347,0.9030748654070855,0.04081632652977926,0.2767952283545993,931
IND852111AAA,Simrahi_Bazar_D (Bihar),Bihar,2,4,5.919117647058823,8.774402277309255,0.0,2.1936005693273133,2.9595588235294117,0.8689024390243902,1,0.0,0.18910349733950085,0.8689024381554877,0.08163265305955852,0.27674638183268097,932
